month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,"market_Flower Market,Gazipur",variety_Gladiolus Cut Flower,variety_Jerbara,variety_Other,year
,,,,,,,,,,1,1,,,,2020
,,,,,,,,,,1,1,,,1,2020
,,,,,,,,,,1,1,,1,,2020
,,,,,,,,,,1,1,1,,,2020
,,,,,,,,,1,,1,,,,2020
,,,,,,,,,1,,1,,,1,2020
,,,,,,,,,1,,1,,1,,2020
,,,,,,,,,1,,1,1,,,2020
,,,,,,,,1,,,1,,,,2020
,,,,,,,,1,,,1,,,1,2020
,,,,,,,,1,,,1,,1,,2020
,,,,,,,,1,,,1,1,,,2020
,,,,,,,1,,,,1,,,,2020
,,,,,,,1,,,,1,,,1,2020
,,,,,,,1,,,,1,,1,,2020
,,,,,,,1,,,,1,1,,,2020
,,,,,,1,,,,,1,,,,2020
,,,,,,1,,,,,1,,,1,2020
,,,,,,1,,,,,1,,1,,2020
,,,,,,1,,,,,1,1,,,2020
,,,,,1,,,,,,1,,,,2020
,,,,,1,,,,,,1,,,1,2020
,,,,,1,,,,,,1,,1,,2020
,,,,,1,,,,,,1,1,,,2020
,,,,1,,,,,,,1,,,,2020
,,,,1,,,,,,,1,,,1,2020
,,,,1,,,,,,,1,,1,,2020
,,,,1,,,,,,,1,1,,,2020
,,,1,,,,,,,,1,,,,2020
,,,1,,,,,,,,1,,,1,2020
,,,1,,,,,,,,1,,1,,2020
,,,1,,,,,,,,1,1,,,2020
,,1,,,,,,,,,1,,,,2020
,,1,,,,,,,,,1,,,1,2020
,,1,,,,,,,,,1,,1,,2020
,,1,,,,,,,,,1,1,,,2020
,1,,,,,,,,,,1,,,,2020
,1,,,,,,,,,,1,,,1,2020
,1,,,,,,,,,,1,,1,,2020
,1,,,,,,,,,,1,1,,,2020
1,,,,,,,,,,,1,,,,2020
1,,,,,,,,,,,1,,,1,2020
1,,,,,,,,,,,1,,1,,2020
1,,,,,,,,,,,1,1,,,2020
